Time (ms),EMG1,EMG2,EMG3,EMG4,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
3426.366,0,338,302,305,904,16200,-1716,-82,-11,-17
3426.366,0,338,302,305,940,16212,-1764,-56,17,-8
3445.162,0,338,302,305,960,16244,-1840,-61,44,-15
3447.205,0,338,302,305,988,16268,-1636,106,79,-4
3447.205,0,339,302,305,960,16352,-1720,-16,54,1
3447.205,0,339,302,305,1008,16432,-1904,66,59,-1
3462.8320000000003,0,339,301,305,964,16440,-1892,41,72,0
3462.8320000000003,0,340,302,306,968,16536,-1888,-7,62,16
3462.8320000000003,0,340,301,305,980,16536,-1864,-53,85,-13
3478.4579999999996,0,340,302,305,956,16480,-1916,-37,104,-34
3478.4579999999996,0,340,302,305,952,16448,-1876,-17,107,-30
3478.4579999999996,0,341,302,305,932,16436,-1808,8,109,-29
3495.087,0,341,301,305,936,16376,-1884,-35,82,-31
3495.087,0,340,302,305,1216,16208,-2740,-113,-356,-23
3495.087,0,340,301,306,1116,16092,-2544,14,-605,29
3510.714,0,340,302,305,840,16232,-1096,101,-229,35
3510.714,0,340,302,305,888,16340,-1376,-2,14,-12
3510.714,0,341,302,305,936,16244,-1752,-9,38,-15
3510.714,0,339,302,305,964,16284,-1788,-23,39,1
3526.3399999999997,0,338,302,305,1020,16344,-1840,-32,39,12
3526.3399999999997,0,337,302,305,944,16352,-1808,-61,15,10
3526.3399999999997,0,337,302,305,988,16428,-1828,-46,38,-8
3541.967,0,336,302,305,916,16504,-1876,-26,69,-5
3541.967,0,336,302,305,984,16464,-1896,-46,56,-22
3541.967,0,335,302,305,936,16476,-1856,-130,37,-14
3557.592,0,334,302,305,1000,16392,-2236,-65,-208,-10
3557.592,0,333,302,305,1056,16468,-2056,91,-298,-25
3557.592,0,333,302,305,740,16384,-1400,34,-275,9
3573.219,0,332,302,306,716,16312,-996,99,-109,31
3573.219,0,331,302,306,1192,15912,-2268,114,-255,6
3573.219,0,330,302,305,780,16244,-2744,125,-470,11
3588.844,0,329,302,305,952,16372,-748,512,258,-58
3588.844,0,331,302,305,928,16192,-1712,132,38,-46
3595.349,0,332,302,305,908,16080,-2316,234,65,-10
3595.349,0,333,302,305,784,16032,-2768,-115,-486,24
3595.349,0,334,302,305,920,16476,-1588,203,-7,23
3610.976,0,335,302,305,912,16424,-1716,119,28,9
3610.976,0,336,302,305,912,16448,-1888,91,37,-3
3610.976,0,336,302,305,948,16508,-1788,38,44,-5
3626.6020000000003,0,337,302,305,996,16384,-2240,10,-124,-13
3626.6020000000003,0,338,302,306,2060,16256,-2560,433,-64,-5
3642.2279999999996,0,338,302,306,132,16268,-2600,-293,-829,38
3642.2279999999996,0,339,302,305,948,16460,-1928,71,-661,33
3642.2279999999996,0,339,302,305,824,16468,-2396,-89,-596,-35
3642.2279999999996,0,340,302,305,852,16232,-1672,-42,-512,8
3657.854,0,341,302,305,1052,16468,-1100,319,-305,7
3657.854,0,340,301,305,964,16052,-1648,924,-52,17
3657.854,0,342,302,305,1100,16324,-1492,-40,-102,11
3673.48,0,342,302,305,916,16344,-2264,-180,-174,22
3673.48,0,342,302,305,1356,17552,-2024,23,48,-432
3673.48,0,342,302,305,892,16168,-1936,-62,6,-1021
3689.106,0,343,302,305,828,16284,-2244,-354,-180,-1018
3695.609,0,343,302,306,824,16340,-1984,-490,-324,-670
3695.609,0,344,302,306,884,16384,-1704,-371,-71,-587
3695.609,0,344,302,306,496,15636,-1860,-358,-150,-313
3711.3849999999998,0,344,302,305,1124,16908,-1760,-272,22,-486
3712.39,0,345,301,305,956,16444,-1548,-169,182,-386
3712.39,0,345,301,306,1020,16688,-2052,-196,189,-652
3712.39,0,343,302,305,324,15352,-1784,-346,217,29
